147581;GRAO SUL TRANSPORTES
152221;Madeireira Canelinha 
150229;H & E CONSTRUCAO E ACABAMENTO
144372;BICALHO CALCADOS
147549;Vitrine das sandálias
149491;MULTI IMOB
149244;NATUM BIO COSMETICOS
146591;TRABUCA
152923;BRASIL LOGIC SOLUCOES
150416;Taunos 
147810;ORCOMA-ORG. COMERCIAL E SERVICOS
149895;NL Turismo
140176;FEELJOY
150753;ANIMALMED HOSPITAL VETERINARIO
134117;LEXOS SOLUCAO EM TECNOLOGIA LTDA
147473;PASCON/MARTINS RECICLAGEM INDUSTRIAL
146696;JG COMERCIO DE FRUTAS
151979;Hear Music & Audio
149139;ESTACAO DO TRANSFER
